epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1292,1.36407,1.74446,1.21224,0.91795,0.57596,0.61412,0.38016,1.28037,0.91306,1.15297,0.000474899,0.000474899,0.000474899
2,78.9738,1.32147,1.10143,1.19876,0.93757,0.57188,0.61854,0.38515,1.27758,0.80635,1.14039,0.000941815,0.000941815,0.000941815
3,113.091,1.34465,0.97781,1.18666,0.93528,0.56448,0.61994,0.39726,1.23367,0.80677,1.13143,0.0013993,0.0013993,0.0013993
4,147.386,1.30872,0.89689,1.1808,0.94558,0.58626,0.62839,0.40433,1.23257,0.73317,1.13166,0.00138656,0.00138656,0.00138656
5,183.182,1.32135,0.87839,1.17866,0.9403,0.5883,0.63209,0.40874,1.21685,0.71319,1.12808,0.00137241,0.00137241,0.00137241
6,217.497,1.29713,0.85077,1.18944,0.95289,0.58859,0.63273,0.41144,1.20172,0.67512,1.11804,0.00135826,0.00135826,0.00135826
7,254.574,1.27164,0.81183,1.1694,0.9439,0.59058,0.63898,0.41193,1.21238,0.66461,1.12136,0.00134412,0.00134412,0.00134412
8,288.853,1.29634,0.81363,1.15783,0.9528,0.60146,0.63987,0.41488,1.19516,0.66087,1.11905,0.00132997,0.00132997,0.00132997
9,322.907,1.28819,0.79702,1.15866,0.95829,0.5995,0.64504,0.42199,1.1917,0.62087,1.11074,0.00131582,0.00131582,0.00131582
10,356.881,1.26913,0.76956,1.14377,0.95192,0.60132,0.64519,0.42009,1.17614,0.6373,1.10831,0.00130168,0.00130168,0.00130168
11,390.975,1.22989,0.73482,1.14029,0.95594,0.60366,0.64599,0.42723,1.16678,0.60031,1.10105,0.00128753,0.00128753,0.00128753
12,425.693,1.23632,0.73043,1.13532,0.95387,0.60752,0.64695,0.41657,1.18913,0.6046,1.1168,0.00127338,0.00127338,0.00127338
13,459.837,1.23107,0.74893,1.14404,0.96156,0.60156,0.64363,0.42696,1.16167,0.59455,1.10062,0.00125923,0.00125923,0.00125923
14,493.818,1.2024,0.71746,1.14204,0.95626,0.60639,0.64786,0.43367,1.15148,0.58677,1.09342,0.00124509,0.00124509,0.00124509
15,527.64,1.21637,0.69525,1.1348,0.95307,0.59916,0.64447,0.42496,1.15994,0.61121,1.1041,0.00123094,0.00123094,0.00123094
16,561.624,1.17872,0.69804,1.11281,0.95912,0.60884,0.64876,0.43224,1.15316,0.566,1.09524,0.00121679,0.00121679,0.00121679
17,595.646,1.18453,0.67812,1.1293,0.95243,0.60681,0.64854,0.43429,1.15031,0.57528,1.09312,0.00120265,0.00120265,0.00120265
18,629.461,1.21593,0.69555,1.12265,0.95777,0.61154,0.65048,0.4325,1.14302,0.56664,1.08553,0.0011885,0.0011885,0.0011885
19,663.391,1.19169,0.69803,1.12343,0.95806,0.61092,0.65032,0.43286,1.15478,0.56933,1.0992,0.00117435,0.00117435,0.00117435
20,697.955,1.17204,0.66616,1.12011,0.95587,0.61872,0.65016,0.43583,1.1535,0.56403,1.09071,0.00116021,0.00116021,0.00116021
21,732.268,1.18825,0.6643,1.1195,0.95524,0.61594,0.65165,0.43538,1.14763,0.55955,1.09292,0.00114606,0.00114606,0.00114606
